certificateNo,name,documentType,facilityType,facilityClass,city,district,placeId,reason
"2022-7-0184","ACAR OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJ0-G-n1SY3BQR9tvOcLK968s","operational-confirmed"
"2025","ALAİYE KLEOPATRA OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJJfo_QYWi3BQR19WayxMqxFs","operational-confirmed"
"9694","ALANYA BEACH","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJU_0_KgCl3BQRbzzmbciVoPc","operational-confirmed"
"1352","ALANYA BÜYÜK OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJwSpey3CY3BQRaXqLcW0enP0","operational-confirmed"
"2022-7-1106","ALANYA RISUS PARK OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJu9_R2cKZ3BQRVwLasaaTrwQ","operational-confirmed"
"20400","ALANYA SUNWAY HOTEL","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","ALANYA","ChIJnwibj5yi3BQRgDjMHSxy-Yk","operational-confirmed"
"11388","ALİN OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJ4-n3soeY3BQR-p1oqIOVIsg","operational-confirmed"
"10469","ANNA QUEEN HOTEL","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","ALANYA","ChIJf41tm5yi3BQRKE1jXhl4xz0","operational-confirmed"
"9115","ANTIQUE ROMAN PALACE","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJgQl_hyu7yhQRJ_VreFWnank","operational-confirmed"
"2022-7-0630","ARSİ ENFİ CITY BEACH OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJL_aIvmCY3BQRoLqCYisIwL0","operational-confirmed"
"24043","AVLİON OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJL-PmWvSj3BQRETxNs8T0CmQ","operational-confirmed"
"2022-7-0531","AYBEL İNN HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJ65zMKw6_wxQRq_KJ3vHDlNw","operational-confirmed"
"2022-7-1130","AYSEV OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJW9-0Z5ui3BQRyTVKUDLfofc","operational-confirmed"
"2022-7-1648","AYSU TUNÇ HOTEL","Basit Konaklama","HOTEL","","ANTALYA","KEMER","ChIJ_0iFCwC_wxQRXSbZlB7g95E","operational-confirmed"
