certificateNo,name,documentType,facilityType,facilityClass,city,district,placeId,reason,firstPartySource
"21655","A HOTEL SİDE","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","MANAVGAT","ChIJWy7MeRZZwxQR83ISvgQWJLo","operational-confirmed",""
"2022-7-0184","ACAR OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJ0-G-n1SY3BQR9tvOcLK968s","operational-confirmed",""
"2022-7-1737","ADALİN RESORT OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJOcikYMO3wxQRocYkr09dAnM","operational-confirmed",""
"12603","ADENYA HOTEL & RESORT","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJVyYhCbqv3BQR1HTfx5J3pnk","operational-confirmed",""
"13586","ADİN BEACH RESORT & SPA HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJwfuDGaOv3BQRUU2-hx4urrU","operational-confirmed",""
"8974","AKRA V","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MURATPAŞA","ChIJqYvIITSDwxQRyuoO-Xpe5Wk","operational-confirmed",""
"2025","ALAİYE KLEOPATRA OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJJfo_QYWi3BQR19WayxMqxFs","operational-confirmed",""
"9694","ALANYA BEACH","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJU_0_KgCl3BQRbzzmbciVoPc","operational-confirmed",""
"1352","ALANYA BÜYÜK OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJwSpey3CY3BQRaXqLcW0enP0","operational-confirmed",""
"2022-7-1106","ALANYA RISUS PARK OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJu9_R2cKZ3BQRVwLasaaTrwQ","operational-confirmed",""
"20400","ALANYA SUNWAY HOTEL","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","ALANYA","ChIJnwibj5yi3BQRgDjMHSxy-Yk","operational-confirmed",""
"20571","ALARCHA HOTEL & RESORTS","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJs2m3mWSr3BQRbqawMoJ2MpM","operational-confirmed",""
"2022-7-0379","ALDER GARDEN HOTEL","Basit Konaklama","HOTEL","","ANTALYA","KEMER","ChIJSzD7JLe5wxQRMpQVBSQNcCI","operational-confirmed",""
"23650","ALDER RESORT OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","KEMER","ChIJW5kygDe5wxQRMb6voQOsXjo","operational-confirmed",""
"25517","ALESSIA HOTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","MANAVGAT","ChIJB8VV7IVZwxQRXoCDlXkwcio","operational-confirmed",""
"19238","ALGORA HALAL HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJXYxdgg-l3BQRMfO5enYFeXo","operational-confirmed",""
"11388","ALİN OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJ4-n3soeY3BQR-p1oqIOVIsg","operational-confirmed",""
"12110","AMBASSADOR PLAZA","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","KEMER","ChIJe1e8dZm3wxQRQ19Skenj97g","operational-confirmed",""
"2022-7-1683","ANİTA DREAM HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJoxbmoP-3wxQR-vU1QVOg1do","operational-confirmed",""
"4255","ANİTAS OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJodm7yo-k3BQRjsRZSi0nKvo","operational-confirmed",""
"10469","ANNA QUEEN HOTEL","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","ALANYA","ChIJf41tm5yi3BQRKE1jXhl4xz0","operational-confirmed",""
"11955","ANNABELLA DIAMOND HOTEL & SPA","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJe3nkXuWu3BQRU1Ec0X7H6U8","operational-confirmed",""
"22112","ANNABELLA PARK OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJLwMpdr2v3BQRdv7D-femfyU","operational-confirmed",""
"9115","ANTIQUE ROMAN PALACE","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJgQl_hyu7yhQRJ_VreFWnank","operational-confirmed",""
"20498","ARCANUS TRENDLİNE RESORT SİDE","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJQ9j-NrRXwxQRoje2e4Y0hmA","operational-confirmed",""
"2022-7-0638","ARES BLUE OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJF07P9f62wxQRmXqDGAXY9ZE","operational-confirmed",""
"4466","ARİA RESORT & SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJSeI-PYWY3BQR7l_WwN7ilpE","operational-confirmed",""
"2022-7-0172","ARMAS BEACH HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJF0Y_g4C3wxQRILGsZ2_twQs","operational-confirmed",""
"2022-7-0171","ARMAS GÜL BEACH OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJz6gcviK3wxQRC9r6N27YSTk","operational-confirmed",""
"2022-7-0170","ARMAS GÜL BEACH OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJz6gcviK3wxQRC9r6N27YSTk","operational-confirmed",""
"G_25626","ARMAS KAPLAN PARADISE","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","KONYAALTI","ChIJ-2O_Suy1wxQRKczGYbvX87A","operational-confirmed",""
"17954","ARMAS LABADA OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","KEMER","ChIJY5zZLGe2wxQR1nW1fYUCmj0","operational-confirmed",""
"2022-7-1224","ARMAS LİFE  BELEK OTEL","Basit Konaklama","OTEL","","ANTALYA","SERİK","ChIJo_g5Hg1kwxQRQdedypPUA1Q","operational-confirmed",""
"2022-7-0632","ARSİ BLUE BEACH HOTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJ4Rbvw7qZ3BQRaC3pnfi1GZY","operational-confirmed",""
"2022-7-0630","ARSİ ENFİ CITY BEACH OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJL_aIvmCY3BQRoLqCYisIwL0","operational-confirmed",""
"12114","ASKA JUST IN BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJD9BMGKmv3BQR0cAEqNkS2Ak","operational-confirmed",""
"25204","AVENA MOUNTAIN OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJmTaNVzuh3BQRtDA_pRMuyOE","operational-confirmed",""
"24043","AVLİON OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJL-PmWvSj3BQRETxNs8T0CmQ","operational-confirmed",""
"2022-7-0531","AYBEL İNN HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJ65zMKw6_wxQRq_KJ3vHDlNw","operational-confirmed",""
"2022-7-1130","AYSEV OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJW9-0Z5ui3BQRyTVKUDLfofc","operational-confirmed",""
"2022-7-1648","AYSU TUNÇ HOTEL","Basit Konaklama","HOTEL","","ANTALYA","KEMER","ChIJ_0iFCwC_wxQRXSbZlB7g95E","operational-confirmed",""
"7379","AZAK BEACH OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJT7SmK5ui3BQR2WzD-XREde8","operational-confirmed",""
"10945","AZAK OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJX2aDUIWi3BQRrvRtHs6saiY","operational-confirmed",""
"25223","AZURA WORLD OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJscB1uhal3BQRRWsvf2nez1E","operational-confirmed",""
"2546","BAIA SALİMA KEMER","Turizm İşletmesi Belgesi","Tatil Köyü","5 Yıldızlı","ANTALYA","KEMER","ChIJDYNqkyW_wxQR8RVK7AiZOkQ","operational-confirmed",""
"3307","BALIK OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJU1-2jYyi3BQRrenT-RkXW-k","operational-confirmed",""
"21714","BALMY BEACH RESORT KEMER","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJ8fevahm3wxQR9b45G8zlIdc","operational-confirmed",""
"2615","BALMY FORESTA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJj_o1awC_wxQRJtG4gli3Ucg","operational-confirmed",""
"2022-7-0246","BARIŞCAN OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJ5xhxNQOa3BQR1dIILgmUlKQ","operational-confirmed",""
"12184","BARUT B SUITES","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJj4JtNs9ewxQRVVV9vrd5M0k","operational-confirmed",""
"23621","BARUT GOIA OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJA5EV5IZZwxQRIXKH2PGKl1w","operational-confirmed",""
"8450","BEACH CLUB DOĞANAY OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJO6L6K3Cj3BQRFTs2Bswtk0g","operational-confirmed",""
"2022-7-1544","BEGONYA HOTEL","Basit Konaklama","HOTEL","","ANTALYA","KEMER","ChIJ_2uZlbdZwxQR96nRbnYoKzk","operational-confirmed",""
"2022-7-1105","BELCAN HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJZ6omQJy_wxQRMFSSknVsVIg","operational-confirmed",""
"G_26130","BELENLİ RESORT HOTEL BELEK","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","SERİK","ChIJORx1u2B7wxQRfzV3Qy7L0Lw","operational-confirmed",""
"2022-7-0779","BELKON HOTEL","Basit Konaklama","OTEL","","ANTALYA","SERİK","ChIJo15LL-N7wxQRjUhUlFhzdYw","operational-confirmed",""
"27357","BELLA RESORT &SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJIftI4V1ewxQR5xTPKloFVug","operational-confirmed",""
"2022-7-1376","BELPOINT BEACH HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJpSo0J6O3wxQRrSQGKx9gGrY","operational-confirmed",""
"2022-7-1758","BELSEA HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJARV81e2_wxQRguCgLAN3LC8","operational-confirmed",""
"2022-7-0461","BELSUN HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJQUy7C9y_wxQR_OWxvJbqqas","operational-confirmed",""
"26309","BERRY BLUE HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJo-Ty9MZZwxQR6m46ox551JU","operational-confirmed",""
"2022-7-1266","BEST HOUSE OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJh0L7YISi3BQRPVumZqmi0Qw","operational-confirmed",""
"2022-7-1388","BEYAZ SARAY OTEL","Basit Konaklama","OTEL","","ANTALYA","MANAVGAT","ChIJO_jrCplZwxQRTGlzgiA2bbM","operational-confirmed",""
"11517","BİENO CLUB SVS HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJVVo-ze2R3BQRBq7_8DmzR1A","operational-confirmed",""
"G_25724","BİENO VENÜS HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJzxcWzMlnwRQRV6BdjiiZDe4","operational-confirmed",""
"20132","BİLEM HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MURATPAŞA","ChIJ9QFoLv-bwxQRx0gDCplxVs0","operational-confirmed",""
"25032","BİRPA KUNDU OTEL","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","MURATPAŞA","ChIJhVXvFUaDwxQRO_sTxp_V-ZU","operational-confirmed",""
