proposedSlug,name,certificateNos,ministryDistricts,placeId,pricingRegion,pricingName,vitoPrice,sprinterPrice,status,reviewReasons
"adenya-hotel-resort","ADENYA HOTEL & RESORT","12603","ALANYA","ChIJVyYhCbqv3BQR1HTfx5J3pnk","alanya_bati","Batı Alanya","70","90","ready",""
"adin-beach-resort-spa-hotel","ADİN BEACH RESORT & SPA HOTEL","13586","ALANYA","ChIJwfuDGaOv3BQRUU2-hx4urrU","alanya_bati","Batı Alanya","70","90","ready",""
"algora-halal-hotel","ALGORA HALAL HOTEL","19238","ALANYA","ChIJXYxdgg-l3BQRMfO5enYFeXo","alanya_bati","Batı Alanya","70","90","ready",""
"anitas-otel","ANİTAS OTEL","4255","ALANYA","ChIJodm7yo-k3BQRjsRZSi0nKvo","alanya_bati","Batı Alanya","70","90","ready",""
"annabella-diamond-hotel-spa","ANNABELLA DIAMOND HOTEL & SPA","11955","ALANYA","ChIJe3nkXuWu3BQRU1Ec0X7H6U8","alanya_bati","Batı Alanya","70","90","ready",""
"annabella-park-otel","ANNABELLA PARK OTEL","22112","ALANYA","ChIJLwMpdr2v3BQRdv7D-femfyU","alanya_bati","Batı Alanya","70","90","ready",""
"aria-resort-spa","ARİA RESORT & SPA","4466","ALANYA","ChIJSeI-PYWY3BQR7l_WwN7ilpE","alanya_bati","Batı Alanya","70","90","ready",""
"aska-just-in-beach-hotel","ASKA JUST IN BEACH HOTEL","12114","ALANYA","ChIJD9BMGKmv3BQR0cAEqNkS2Ak","alanya_bati","Batı Alanya","70","90","ready",""
"azura-world-otel","AZURA WORLD OTEL","25223","ALANYA","ChIJscB1uhal3BQRRWsvf2nez1E","alanya_bati","Batı Alanya","70","90","ready",""
"beach-club-doganay-otel","BEACH CLUB DOĞANAY OTEL","8450","ALANYA","ChIJO6L6K3Cj3BQRFTs2Bswtk0g","alanya_bati","Batı Alanya","70","90","ready",""
"blue-fish-otel","BLUE FİSH OTEL","11069","ALANYA","ChIJq4EFzW-j3BQRIBl03jtESbo","alanya_bati","Batı Alanya","70","90","ready",""
"calido-sol-hotel","CALIDO SOL HOTEL","8689","ALANYA","ChIJi1AT6Oes3BQRzsyCZ2mnCeY","alanya_bati","Batı Alanya","70","90","ready",""
"caretta-beach-otel","CARETTA BEACH OTEL","4612","ALANYA","ChIJGzNDqXCk3BQRhEyngEAp5Ls","alanya_bati","Batı Alanya","70","90","ready",""
"caretta-relax-otel","CARETTA RELAX OTEL","6759","ALANYA","ChIJJ6YYf_Ok3BQR8AvJ5tnFUuM","alanya_bati","Batı Alanya","70","90","ready",""
"club-dizalya","CLUB DİZALYA","8560","ALANYA","ChIJRYMpWnal3BQRULePBbcaupk","alanya_bati","Batı Alanya","70","90","ready",""
"club-kastalia","CLUB KASTALIA","1497","ALANYA","ChIJ3cid1oyk3BQRsjP5JrR0WRA","alanya_bati","Batı Alanya","70","90","ready",""
"club-otel-mermaid-village","CLUB OTEL MERMAID VILLAGE","14377","ALANYA","ChIJ44qVyoKk3BQRxOxhmT1z8dI","alanya_bati","Batı Alanya","70","90","ready",""
"club-tess-otel","CLUB TESS OTEL","15370","ALANYA","ChIJA_D2hvmk3BQR6SvRU6cVQw8","alanya_bati","Batı Alanya","70","90","ready",""
"concordia-celes","CONCORDİA CELES","17129","ALANYA","ChIJdyUU8-as3BQR937Rx3E85JI","alanya_bati","Batı Alanya","70","90","ready",""
"dizalya-palm-garden-otel","DİZALYA PALM GARDEN OTEL","13152","ALANYA","ChIJW4912o6k3BQRJNJw5tpcQik","alanya_bati","Batı Alanya","70","90","ready",""
"eftalia-blue-hotel","EFTALIA BLUE HOTEL","23885","ALANYA","ChIJd2_lQ-al3BQRN87fQpAsXlI","alanya_bati","Batı Alanya","70","90","ready",""
"eftalia-marin-resort-otel","EFTALIA MARIN RESORT OTEL","14630","ALANYA","ChIJb9ljZL6RwxQRmyntWM67mjk","alanya_bati","Batı Alanya","70","90","ready",""
"eftalia-ocean","EFTALIA OCEAN","15846","ALANYA","ChIJ____tGSl3BQRDfqfCTmx3eQ","alanya_bati","Batı Alanya","70","90","ready",""
"eos-beach-hotel","EOS BEACH HOTEL","26111","ALANYA","ChIJs46WYKil3BQRx-iAPvWkctw","alanya_bati","Batı Alanya","70","90","ready",""
"galeri-resort-hotel","GALERİ RESORT HOTEL","5153","ALANYA","ChIJq6qq6jCs3BQRVyzIAM2FEVU","alanya_bati","Batı Alanya","70","90","ready",""
"gardenia-beach-otel","GARDENIA BEACH OTEL","6055","ALANYA","ChIJgdpKYf6s3BQRhIs4jF8PluQ","alanya_bati","Batı Alanya","70","90","ready",""
"granada-luxury-red","GRANADA LUXURY RED","24970","ALANYA","ChIJFehGPViv3BQR8rOmpCeIQTg","alanya_bati","Batı Alanya","70","90","ready",""
"grand-cortez-resort-hotel-spa","GRAND CORTEZ RESORT HOTEL & SPA","23985","ALANYA","ChIJ8wqiCS-l3BQReaww-Ace6ls","alanya_bati","Batı Alanya","70","90","ready",""
"hedef-beach-hotel","HEDEF BEACH HOTEL","25806","ALANYA","ChIJsQb9-_Kk3BQRIq5eSdORfi4","alanya_bati","Batı Alanya","70","90","ready",""
"hedef-resort-otel","HEDEF RESORT OTEL","2022-7-0456","ALANYA","ChIJl2fJLACl3BQRRn0emyDWXpA","alanya_bati","Batı Alanya","70","90","ready",""
"incekum-west-otel","İNCEKUM WEST OTEL","4103","ALANYA","ChIJ6zs6zcW9vxQR6Fz19wPhmK4","alanya_bati","Batı Alanya","70","90","ready",""
"justiniano-theodora-otel","JUSTINIANO THEODORA OTEL","17916","ALANYA","ChIJ_zboDVWs3BQR3DzNt5a-hbE","alanya_bati","Batı Alanya","70","90","ready",""
"justiniano-park-conti-otel","JUSTİNİANO PARK CONTİ OTEL","19927","ALANYA","ChIJ93obnf2s3BQRirZU6DCxJZ8","alanya_bati","Batı Alanya","70","90","ready",""
"kahya-otel","KAHYA OTEL","11547","ALANYA","ChIJu7f-jXOl3BQRk-v6WyP5rV8","alanya_bati","Batı Alanya","70","90","ready",""
"kaia-coracesium","KAİA CORACESİUM","13686","ALANYA","ChIJw6oJyE-l3BQRM9FtT9mr-6U","alanya_bati","Batı Alanya","70","90","ready",""
"laguna-beach-alya-resort-spa-hotel","LAGUNA BEACH ALYA RESORT & SPA HOTEL","18761","ALANYA","ChIJCTlMxKqt3BQRXLgf4V0cnSo","alanya_bati","Batı Alanya","70","90","ready",""
"litore-hotel","LITORE HOTEL","18107","ALANYA","ChIJSeI-PYWY3BQRYqFsEmS9dH4","alanya_bati","Batı Alanya","70","90","ready",""
"lonicera-premium","LONICERA PREMIUM","18338","ALANYA","ChIJv0voUCiZ3BQRm81DC9Ry-40","alanya_bati","Batı Alanya","70","90","ready",""
"lonicera-world-resort-spa-hotel","LONİCERA WORLD RESORT SPA HOTEL","14066","ALANYA","ChIJ9Y8NdwCv3BQRy5Pr6IJvs40","alanya_bati","Batı Alanya","70","90","ready",""
"lycus-beach-otel","LYCUS BEACH OTEL","10090","ALANYA","ChIJtxCOQP6s3BQR4myydqz7h28","alanya_bati","Batı Alanya","70","90","ready",""
"mc-arancia-resort-otel","MC ARANCIA RESORT OTEL","18609","ALANYA","ChIJ3xRqxPOk3BQRp3gzUDeEHlA","alanya_bati","Batı Alanya","70","90","ready",""
"meryan-otel","MERYAN OTEL","4799","ALANYA","ChIJTc5KlIeY3BQRimW-WBB4rkM","alanya_bati","Batı Alanya","70","90","ready",""
"miarosa-konakli-garden-otel","MIAROSA KONAKLI GARDEN OTEL","2022-7-1698","ALANYA","ChIJbxo7K4ul3BQRJ962Ng3jy5o","alanya_bati","Batı Alanya","70","90","ready",""
"mira-meridia-beach-resort-hotel","MIRA MERIDIA BEACH RESORT HOTEL","16675","ALANYA","ChIJW5dS2FOj3BQR_wBWbL_kzC4","alanya_bati","Batı Alanya","70","90","ready",""
"my-home-resort-otel","MY HOME RESORT OTEL","11113","ALANYA","ChIJV5h4faav3BQRzEDsq9HeljE","alanya_bati","Batı Alanya","70","90","ready",""
"my-home-sky-otel","MY HOME SKY OTEL","12688","ALANYA","ChIJxTQY6aWv3BQRzEVCX2wk4RA","alanya_bati","Batı Alanya","70","90","ready",""
"mylome-luxury-hotel-resort","MYLOME LUXURY HOTEL & RESORT","21102","ALANYA","ChIJ4QtzUayt3BQRrJD5CRTzxzQ","alanya_bati","Batı Alanya","70","90","ready",""
"noxinn-club-hotels","NOXINN CLUB HOTELS","G_20406","ALANYA","ChIJ636fC-Wl3BQROvJndwRu_OA","alanya_bati","Batı Alanya","70","90","ready",""
"noxinn-deluxe-hotel","NOXINN DELUXE HOTEL","20826","ALANYA","ChIJby11WnKj3BQRFvJTIc5nuyc","alanya_bati","Batı Alanya","70","90","ready",""
"numa-konaktepe-otel","NUMA KONAKTEPE OTEL","17308","ALANYA","ChIJFS363vSk3BQRYv0rpT7I_L4","alanya_bati","Batı Alanya","70","90","ready",""
"oz-hotels-sui","OZ HOTELS SUİ","15065","ALANYA","ChIJS6dSaFSs3BQR1F8RuQZLXVk","alanya_bati","Batı Alanya","70","90","ready",""
"ozkaymak-select-resort-otel","ÖZKAYMAK SELECT RESORT OTEL","15327","ALANYA","ChIJ9XbBdJqv3BQRkfiW6OaNbhw","alanya_bati","Batı Alanya","70","90","ready",""
"palmeras-beach-hotel","PALMERAS BEACH HOTEL","11475","ALANYA","ChIJ6Y0FyPuk3BQREtW596sXmX0","alanya_bati","Batı Alanya","70","90","ready",""
"perre-delta-resort-spa","PERRE DELTA RESORT & SPA","7525","ALANYA","ChIJl_QPEI2t3BQRzt-Z4gmVLto","alanya_bati","Batı Alanya","70","90","ready",""
"quattro-beach-spa-resort","QUATTRO BEACH SPA &RESORT","13520","ALANYA","ChIJSeI-PYWY3BQRobs-UEU6Rxg","alanya_bati","Batı Alanya","70","90","ready",""
"ramira-beach-hotel","RAMİRA BEACH HOTEL","16339","ALANYA","ChIJBzh1oqqv3BQRvWHcVdwLrC8","alanya_bati","Batı Alanya","70","90","ready",""
